105,79|107,57|108
9,57|19,89|298
37,19|55,9|128
105,79|77,79|136
61,127|61,101|210
37,19|43,39|74
19,33|9,57|262
61,55|31,65|168
107,57|129,53|114
43,81|31,109|160
129,53|127,75|212
31,109|33,127|120
55,9|37,19|128
83,35|105,41|120
109,5|89,19|186
87,53|83,35|86
77,79|87,53|172
37,19|13,15|228
105,41|107,57|62
105,41|83,35|120
61,101|61,127|210
140,139|133,127|71
87,53|61,55|184
31,109|43,81|160
31,109|61,101|110
43,39|31,65|154
133,127|140,139|71
61,101|59,85|114
127,75|105,79|122
59,85|61,55|176
105,113|105,79|262
79,113|77,79|248
61,127|33,127|216
61,101|31,109|110
61,55|53,35|100
133,127|99,133|260
105,79|105,113|262
99,133|105,113|74
89,19|55,9|372
33,127|31,109|120
9,57|31,65|98
83,35|87,53|86
19,89|43,81|124
13,15|0,1|191
43,81|31,65|128
43,81|19,89|124
89,19|109,5|186
123,39|109,5|440
127,75|123,103|284
61,101|79,113|74
61,55|87,53|184
17,107|33,127|436
55,9|89,19|372
77,79|59,85|88
55,9|53,35|96
123,39|129,53|116
89,129|79,113|102
33,127|61,127|216
13,15|37,19|228
129,53|123,39|116
123,103|127,75|284
31,109|17,107|56
43,39|53,35|26
127,75|129,53|212
77,79|79,113|248
83,35|53,35|198
19,33|43,39|138
31,65|9,57|98
53,35|43,39|26
79,113|105,113|118
79,113|89,129|102
105,113|99,133|74
43,39|37,19|74
83,35|89,19|74
107,57|105,41|62
53,35|55,9|96
123,39|105,41|80
87,53|107,57|64
89,129|61,127|218
61,127|89,129|218
109,5|105,41|220
61,55|59,85|176
43,39|19,33|138
59,85|77,79|88
123,103|133,127|166
31,65|43,39|154
89,129|99,133|66
99,133|133,127|260
105,79|127,75|122
31,65|61,55|168
19,89|9,57|298
109,5|123,39|440
107,57|87,53|64
123,103|105,113|132
133,127|123,103|166
13,15|19,33|124
105,41|123,39|80
87,53|77,79|172
105,113|79,113|118
53,35|61,55|100
59,85|61,101|114
9,57|19,33|262
77,79|105,79|136
17,107|31,109|56
105,41|109,5|220
107,57|105,79|108
59,85|43,81|52
105,113|123,103|132
43,81|59,85|52
129,53|107,57|114
99,133|89,129|66
17,107|19,89|220
53,35|83,35|198
33,127|17,107|436
0,1|13,15|191
79,113|61,101|74
19,33|13,15|124
19,89|17,107|220
89,19|83,35|74
31,65|43,81|128
